2017-12-01 21:52:56 status unpacked libc-bin:amd64 2.23-0ubuntu3
2017-12-01 21:52:56 status unpacked libc-bin:amd64 2.23-0ubuntu3
2017-12-01 21:52:56 upgrade libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2017-12-01 21:52:56 status half-configured libc6:amd64 2.23-0ubuntu3
2017-12-01 21:52:56 status unpacked libc6:amd64 2.23-0ubuntu3
2017-12-01 21:52:56 status half-installed libc6:amd64 2.23-0ubuntu3
2017-12-01 21:52:57 status half-installed libc6:amd64 2.23-0ubuntu3
2017-12-01 21:52:57 status unpacked libc6:amd64 2.23-0ubuntu3
2017-12-01 21:52:57 status unpacked libc6:amd64 2.23-0ubuntu3
2017-12-01 21:52:57 install libcap2:amd64 <none> 1:2.24-12
2017-12-01 21:52:57 status half-installed libcap2:amd64 1:2.24-12
2017-12-01 21:52:57 status unpacked libcap2:amd64 1:2.24-12
2017-12-01 21:52:57 status unpacked libcap2:amd64 1:2.24-12
2017-12-01 21:52:57 install libcap2-bin:amd64 <none> 1:2.24-12
2017-12-01 21:52:57 status half-installed libcap2-bin:amd64 1:2.24-12
2017-12-01 21:52:57 status unpacked libcap2-bin:amd64 1:2.24-12
2017-12-01 21:52:57 status unpacked libcap2-bin:amd64 1:2.24-12
2017-12-01 21:52:57 install libcomerr2:amd64 <none> 1.42.13-1ubuntu1
2017-12-01 21:52:57 status half-installed libcomerr2:amd64 1.42.13-1ubuntu1
2017-12-01 21:52:57 status unpacked libcomerr2:amd64 1.42.13-1ubuntu1
2017-12-01 21:52:57 status unpacked libcomerr2:amd64 1.42.13-1ubuntu1
2017-12-01 21:52:57 install libcryptsetup4:amd64 <none> 2:1.6.6-5ubuntu2
2017-12-01 21:52:57 status half-installed libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2017-12-01 21:52:57 status unpacked libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2017-12-01 21:52:57 status unpacked libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2017-12-01 21:52:57 install libdb5.3:amd64 <none> 5.3.28-11
2017-12-01 21:52:57 status half-installed libdb5.3:amd64 5.3.28-11
2017-12-01 21:52:57 status unpacked libdb5.3:amd64 5.3.28-11
2017-12-01 21:52:57 status unpacked libdb5.3:amd64 5.3.28-11
2017-12-01 21:52:57 install libdebconfclient0:amd64 <none> 0.198ubuntu1
2017-12-01 21:52:57 status half-installed libdebconfclient0:amd64 0.198ubuntu1
2017-12-01 21:52:57 status unpacked libdebconfclient0:amd64 0.198ubuntu1
2017-12-01 21:52:57 status unpacked libdebconfclient0:amd64 0.198ubuntu1
2017-12-01 21:52:57 install libdevmapper1.02.1:amd64 <none> 2:1.02.110-1ubuntu10
2017-12-01 21:52:57 status half-installed libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2017-12-01 21:52:57 status unpacked libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2017-12-01 21:52:57 status unpacked libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2017-12-01 21:52:57 install libfdisk1:amd64 <none> 2.27.1-6ubuntu3
2017-12-01 21:52:57 status half-installed libfdisk1:amd64 2.27.1-6ubuntu3
2017-12-01 21:52:57 status unpacked libfdisk1:amd64 2.27.1-6ubuntu3
2017-12-01 21:52:57 status unpacked libfdisk1:amd64 2.27.1-6ubuntu3
2017-12-01 21:52:57 install libgcc1:amd64 <none> 1:6.0.1-0ubuntu1
2017-12-01 21:52:57 status half-installed libgcc1:amd64 1:6.0.1-0ubuntu1
2017-12-01 21:52:57 status unpacked libgcc1:amd64 1:6.0.1-0ubuntu1
2017-12-01 21:52:57 status unpacked libgcc1:amd64 1:6.0.1-0ubuntu1
2017-12-01 21:52:57 install libgcrypt20:amd64 <none> 1.6.5-2
2017-12-01 21:52:57 status half-installed libgcrypt20:amd64 1.6.5-2
2017-12-01 21:52:57 status unpacked libgcrypt20:amd64 1.6.5-2
2017-12-01 21:52:57 status unpacked libgcrypt20:amd64 1.6.5-2
2017-12-01 21:52:57 install libgpg-error0:amd64 <none> 1.21-2ubuntu1
2017-12-01 21:52:57 status half-installed libgpg-error0:amd64 1.21-2ubuntu1
2017-12-01 21:52:57 status unpacked libgpg-error0:amd64 1.21-2ubuntu1
2017-12-01 21:52:57 status unpacked libgpg-error0:amd64 1.21-2ubuntu1
2017-12-01 21:52:57 install libkmod2:amd64 <none> 22-1ubuntu4
2017-12-01 21:52:57 status half-installed libkmod2:amd64 22-1ubuntu4
2017-12-01 21:52:57 status unpacked libkmod2:amd64 22-1ubuntu4
2017-12-01 21:52:57 status unpacked libkmod2:amd64 22-1ubuntu4
2017-12-01 21:52:57 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2ubuntu2
2017-12-01 21:52:57 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2017-12-01 21:52:57 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
